=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-9-6_2-27-9
====================================================================================
2:27:9 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
2:27:9 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
2:27:9 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
2:27:9 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
2:27:9 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
2:27:9 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
2:27:9 | [PermissionManager] Perm (MenuBansManager) has been registered!
2:27:9 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
2:27:9 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
2:27:9 | [PermissionManager] Perm (MenuWebHooks) has been registered!
2:27:9 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
2:27:9 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
2:27:9 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
2:27:9 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
2:27:9 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
2:27:9 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
2:27:9 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
2:27:9 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
2:27:9 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
2:27:9 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
2:27:9 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
2:27:9 | [PermissionManager] Perm (EspToolsMenu) has been registered!
2:27:9 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
2:27:9 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
2:27:9 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
2:27:9 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
2:27:9 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
2:27:9 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
2:27:9 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
2:27:9 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
2:27:9 | [PermissionManager] Adding Super Admin (76561198966041256)
2:27:9 | [PermissionManager] Adding Super Admin (76561198339876709)
2:27:9 | [PermissionManager] Adding Super Admin (76561199061045416)
2:27:9 | [PermissionManager] Loaded UserGroups.json
2:27:9 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
2:27:9 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
2:27:9 | Building Sets Loaded: 0
2:27:9 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
2:27:9 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
2:27:9 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
2:27:9 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
2:28:5 | Player "Survivor" (steamId=76561198966041256) connected to server!
2:28:22 | Player "Survivor" (steamId=76561198966041256) connected to server!
2:29:18 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_LittleBird_Camo" (pos=<4167.977539, 338.480133, 10991.739258>)
2:29:37 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<2799.870117, 25.876886, 1217.000000>)
2:29:37 | "Survivor": (steamid=76561198966041256) teleported to (pos=2799.87,0,1217)
2:29:49 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_Bell429" (pos=<2775.697021, 26.044746, 1201.411987>)
2:30:39 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<3996.620117, 367.773712, 11915.400391>)
2:30:39 | "Survivor": (steamid=76561198966041256) teleported to (pos=3996.62,0,11915.4)
2:31:0 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_EC135_Cargo1_BlackCamo" (pos=<4028.723877, 375.568085, 11882.570313>)
2:31:3 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_EC135_Cargo1_BlackCamo" (pos=<4028.723877, 375.568085, 11882.570313>)
2:31:5 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_EC135_BlackCamo" (pos=<4028.723877, 375.568085, 11882.570313>)
2:31:22 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<7429.939941, 406.363831, 9088.830078>)
2:31:22 | "Survivor": (steamid=76561198966041256) teleported to (pos=7429.94,0,9088.83)
2:31:27 | "Survivor" (steamid=76561198966041256) teleported to crosshair (pos=<7429.706055, 426.363586, 9100.573242>)
2:31:29 | "Survivor" (steamid=76561198966041256) teleported to crosshair (pos=<7429.954590, 428.107300, 9100.880859>)
2:32:13 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<13628.500000, 43.791573, 2954.010010>)
2:32:13 | "Survivor": (steamid=76561198966041256) teleported to (pos=13628.5,0,2954.01)
2:32:22 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_LittleBird_Desert" (pos=<13627.856445, 43.631092, 2935.732178>)
2:32:42 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<596.616028, 501.743042, 13701.500000>)
2:32:42 | "Survivor": (steamid=76561198966041256) teleported to (pos=596.616,0,13701.5)
2:32:51 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_Mi2_DriverDoor_Military" (pos=<583.887085, 501.852478, 13686.975586>)
2:32:53 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_Mi2_Military" (pos=<583.836182, 501.852600, 13687.026367>)
2:33:23 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<10134.799805, 341.795898, 12078.599609>)
2:33:23 | "Survivor": (steamid=76561198966041256) teleported to (pos=10134.8,0,12078.6)
2:33:29 | "Survivor" (steamid=76561198966041256) teleported to crosshair (pos=<10138.702148, 355.924042, 12060.733398>)
2:33:33 | "Survivor" (steamid=76561198966041256) /heal used on: "Survivor" (steamid=76561198966041256)
2:33:36 | "Survivor" (steamid=76561198966041256) toggled godmode
2:33:40 | "Survivor" (steamid=76561198966041256) teleported to crosshair (pos=<10149.840820, 348.989594, 12063.967773>)
2:33:41 | "Survivor" (steamid=76561198966041256) teleported to crosshair (pos=<10189.304688, 338.097290, 12043.392578>)
2:33:46 | "Survivor" (steamid=76561198966041256) teleported to crosshair (pos=<10156.398438, 341.331879, 12043.942383>)
2:34:0 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_Apache_Desert" (pos=<10141.081055, 345.558228, 12048.383789>)
2:34:8 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<14863.099609, 80.376686, 13610.799805>)
2:34:8 | "Survivor": (steamid=76561198966041256) teleported to (pos=14863.1,0,13610.8)
2:34:30 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_Apache_Desert" (pos=<14865.809570, 87.892891, 13600.326172>)
2:34:36 | "Survivor" (steamid=76561198966041256) deleted object "Static_rock_wallh1" (pos=<14874.035156, 71.290245, 13600.852539>)
2:34:37 | "Survivor" (steamid=76561198966041256) deleted object "Static_rock_wallh1" (pos=<14874.035156, 71.290245, 13600.852539>)
2:34:39 | "Survivor" (steamid=76561198966041256) toggled freecam
2:34:43 | "Survivor" (steamid=76561198966041256) deleted object "Static_rock_wallh1" (pos=<14874.035156, 71.290245, 13600.852539>)
2:34:45 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_Mi2_Hornet_Wreck" (pos=<14870.565430, 78.127792, 13593.565430>)
2:34:49 | "Survivor" (steamid=76561198966041256) toggled freecam
2:34:58 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<2251.820068, 93.089478, 3259.479980>)
2:34:58 | "Survivor": (steamid=76561198966041256) teleported to (pos=2251.82,0,3259.48)
2:35:10 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_Apache_Desert" (pos=<2257.000488, 92.983315, 3248.593506>)
2:35:12 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<5045.580078, 9.482276, 2371.070068>)
2:35:12 | "Survivor": (steamid=76561198966041256) teleported to (pos=5045.58,0,2371.07)
2:35:22 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_Apache_Desert" (pos=<5031.015625, 9.597396, 2355.821777>)
2:35:49 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<1893.150024, 431.186066, 13746.799805>)
2:35:49 | "Survivor": (steamid=76561198966041256) teleported to (pos=1893.15,0,13746.8)
2:36:1 | "Survivor" (steamid=76561198966041256) deleted object "RFFSHeli_Bell429" (pos=<1877.728394, 433.137329, 13721.752930>)
2:36:17 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<2761.010010, 26.000000, 1200.640015>)
2:36:17 | "Survivor": (steamid=76561198966041256) teleported to (pos=2761.01,0,1200.64)
2:37:39 | "76561198966041256" (steamid=76561198966041256) teleported to (pos=<11867.400391, 140.000000, 12615.400391>)
2:37:39 | "Survivor": (steamid=76561198966041256) teleported to (pos=11867.4,0,12615.4)
2:38:5 | Player "Survivor" (steamId=76561198966041256) disconnected from server.
2:38:6 | Player "Survivor" (steamId=76561198966041256) disconnected from server.
1:16:3 | Player "Survivor" (steamId=76561199061045416) connected to server!
1:16:24 | Player "Survivor" (steamId=76561199061045416) connected to server!
1:24:6 | Player "[U.S.A] Edge_Shot" (steamId=76561198956818598) connected to server!
1:25:20 | Player "[U.S.A] SOBRAL " (steamId=76561199147153525) connected to server!
1:25:35 | Player "[U.S.A] SOBRAL " (steamId=76561199147153525) connected to server!
1:28:52 | Player "[U.S.A] TIOSNIPER999" (steamId=76561198351989993) connected to server!
1:44:33 | "Survivor" (steamid=76561199061045416) toggled godmode
1:45:11 | Player "[U.S.A] Alexa " (steamId=76561198105615546) connected to server!
1:47:24 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
1:47:25 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
1:48:38 | Player "[OST] Teppo" (steamId=76561198876649341) connected to server!
1:49:21 | Player "Survivor" (steamId=76561199061045416) disconnected from server.
1:49:23 | Player "Survivor" (steamId=76561199061045416) disconnected from server.
1:49:38 | Player "Survivor" (steamId=76561199061045416) connected to server!
1:52:4 | Player "Survivor" (steamId=76561199061045416) connected to server!
1:55:35 | Player "[u.s.a.] eder" (steamId=76561199231380369) connected to server!
1:57:23 | "Survivor" (steamid=76561199061045416) toggled godmode
1:58:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
1:59:21 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
1:59:33 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
1:59:33 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199147153525)
1:59:33 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
1:59:33 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
1:59:33 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
1:59:33 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:0:18 | "Survivor" (steamid=76561199061045416) toggled godmode
2:0:19 | "Survivor" (steamid=76561199061045416) toggled godmode
2:0:28 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:0:28 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199147153525)
2:0:28 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:0:28 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:0:28 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:0:28 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:0:28 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:0:29 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:0:29 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199147153525)
2:0:29 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:0:29 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:0:29 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:0:29 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:0:29 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199147153525)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199147153525)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:0:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:0:41 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:0:41 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199147153525)
2:0:41 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:0:41 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:0:41 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:0:41 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:0:41 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:2:12 | "Survivor" (steamid=76561199061045416) toggled godmode
2:2:14 | "Survivor" (steamid=76561199061045416) toggled godmode
2:3:22 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3714.322998, 402.000000, 5998.749512>)
2:3:23 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3707.073242, 402.000000, 5993.392090>)
2:3:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3714.964844, 402.000031, 5998.657715>)
2:3:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3719.918945, 402.950562, 6002.297852>)
2:3:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3725.666016, 401.756317, 6007.239746>)
2:3:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3730.892822, 401.739777, 6011.674805>)
2:3:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3737.190430, 401.867554, 6014.320313>)
2:3:35 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3747.220459, 401.016296, 6018.730469>)
2:3:35 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3754.543457, 400.864746, 6021.860840>)
2:3:36 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3765.523438, 398.821411, 6028.828125>)
2:3:36 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3773.947510, 397.908661, 6032.926270>)
2:3:37 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3781.278809, 396.971161, 6037.762207>)
2:3:37 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3789.197266, 395.873993, 6042.738770>)
2:3:38 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3797.885742, 394.691315, 6047.827148>)
2:3:38 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3807.616699, 393.491425, 6053.067871>)
2:3:38 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<3817.005371, 392.385193, 6058.112305>)
2:4:0 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4299.558594, 311.752136, 6357.598633>)
2:4:1 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4323.839844, 309.178345, 6373.002930>)
2:4:2 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4339.889160, 307.717743, 6381.726074>)
2:4:3 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4442.394043, 298.019897, 6423.450684>)
2:4:5 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4461.382324, 296.074402, 6434.949707>)
2:4:6 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4477.715332, 295.006317, 6440.956055>)
2:4:7 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4492.642090, 294.189423, 6446.023438>)
2:4:7 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4534.879883, 288.740845, 6460.717285>)
2:4:9 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4556.074707, 286.868286, 6469.094238>)
2:4:18 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4640.323242, 281.608673, 6525.753906>)
2:4:19 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4648.835449, 281.245422, 6530.437988>)
2:4:20 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4659.127441, 280.653870, 6536.076660>)
2:4:22 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4936.970215, 264.348663, 6734.340332>)
2:4:23 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4952.630859, 264.490509, 6743.661621>)
2:4:24 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<4970.929688, 264.396881, 6754.733887>)
2:4:25 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5002.857910, 263.391174, 6774.917969>)
2:4:27 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5099.315918, 265.961456, 6842.452637>)
2:4:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5113.773438, 266.775909, 6846.207520>)
2:5:1 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5292.463867, 283.556000, 6956.069824>)
2:5:1 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5301.044434, 285.421906, 6971.171875>)
2:5:2 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5318.458008, 287.653046, 6985.093262>)
2:5:3 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5339.490723, 291.699066, 7009.953613>)
2:5:4 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5365.549316, 296.217896, 7039.833008>)
2:5:5 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5425.131836, 305.969849, 7105.812500>)
2:5:8 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5430.438965, 307.836395, 7109.149414>)
2:5:8 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5435.347168, 309.655853, 7112.191895>)
2:5:9 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5439.698242, 311.150299, 7114.599609>)
2:5:9 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5444.219238, 312.560303, 7117.102051>)
2:5:10 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5449.488281, 313.892120, 7120.077637>)
2:5:10 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5455.518555, 315.064850, 7123.515137>)
2:5:11 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5463.097656, 316.061401, 7127.926270>)
2:5:11 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5473.319824, 316.808289, 7133.966309>)
2:5:12 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5487.332031, 317.059479, 7142.163086>)
2:5:13 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5502.870117, 316.852142, 7151.224121>)
2:5:13 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5521.574707, 316.235199, 7162.203125>)
2:5:14 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5544.029785, 315.149475, 7175.454102>)
2:5:14 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5574.725586, 313.319183, 7192.357910>)
2:5:15 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5722.806152, 303.390106, 7275.932129>)
2:5:16 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5745.566406, 303.311310, 7288.485840>)
2:5:17 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5768.595215, 303.522217, 7301.399414>)
2:5:17 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5819.705566, 303.594543, 7331.655273>)
2:5:18 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5856.694336, 303.916473, 7353.337402>)
2:5:18 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<5893.516602, 304.144562, 7374.920898>)
2:5:19 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<6153.166016, 295.339905, 7529.226563>)
2:5:20 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<6166.055176, 296.086395, 7536.351563>)
2:5:20 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<6181.180664, 296.495148, 7543.656738>)
2:5:21 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<6210.597656, 295.645050, 7558.182129>)
2:5:23 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<6217.099609, 296.937775, 7566.000977>)
2:5:23 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<6232.041016, 296.997894, 7583.861816>)
2:5:25 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<6243.374512, 296.889160, 7589.642578>)
2:5:25 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<6256.653809, 296.735138, 7596.414063>)
2:5:27 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<6323.453125, 298.389160, 7629.509277>)
